origin,destination,num
Afghanistan,Argentina,9.0
Afghanistan,Australia,37482.0
Afghanistan,Austria,8620.0
Afghanistan,Azerbaijan,186.0
Afghanistan,Bahrain,656.0
Afghanistan,Belarus,282.0
Afghanistan,Belgium,10638.0
Afghanistan,Bolivia (Plurinational State of),1.0
Afghanistan,Brazil,69.0
Afghanistan,Bulgaria,322.0
Afghanistan,Canada,45733.0
Afghanistan,Chile,15.0
Afghanistan,Colombia,116.0
Afghanistan,Costa Rica,4.0
Afghanistan,Cyprus,10.0
Afghanistan,Czech Republic,427.0
Afghanistan,Denmark,12260.0
Afghanistan,Ecuador,55.0
Afghanistan,Egypt,235.0
Afghanistan,Estonia,12.0
Afghanistan,Finland,4810.0
Afghanistan,France,4761.0
Afghanistan,Germany,99638.0
Afghanistan,Greece,6331.0
Afghanistan,Hungary,1333.0
Afghanistan,Iceland,10.0
Afghanistan,India,8086.0
Afghanistan,Iran (Islamic Republic of),2348369.0
Afghanistan,Iraq,312.0
Afghanistan,Ireland,148.0
Afghanistan,Israel,2539.0
Afghanistan,Italy,6568.0
Afghanistan,Jordan,66.0
Afghanistan,Kuwait,2669.0
Afghanistan,Latvia,20.0
Afghanistan,Libya,320.0
Afghanistan,Lithuania,21.0
Afghanistan,Malaysia,498.0
Afghanistan,Namibia,39.0
Afghanistan,Netherlands,33852.0
Afghanistan,New Zealand,2540.0
Afghanistan,Nicaragua,61.0
Afghanistan,Norway,13238.0
Afghanistan,Pakistan,1618687.0
Afghanistan,Philippines,1220.0
Afghanistan,Poland,141.0
Afghanistan,Qatar,1571.0
Afghanistan,Russian Federation,5095.0
Afghanistan,Saudi Arabia,364304.0
Afghanistan,Slovakia,153.0
Afghanistan,Slovenia,25.0
Afghanistan,South Africa,83.0
Afghanistan,Spain,458.0
Afghanistan,Sri Lanka,128.0
Afghanistan,Sweden,29085.0
Afghanistan,Switzerland,4613.0
Afghanistan,Syrian Arab Republic,1791.0
Afghanistan,Tajikistan,7587.0
Afghanistan,Thailand,1.0
Afghanistan,Turkey,13601.0
Afghanistan,Ukraine,2112.0
Afghanistan,United Arab Emirates,7590.0
Afghanistan,United Kingdom of Great Britain and Northern Ireland,68256.0
Afghanistan,United States of America,63255.0
Albania,Argentina,66.0
Albania,Australia,3334.0
Albania,Austria,3147.0
Albania,Belgium,7517.0
Albania,Bolivia (Plurinational State of),1.0
Albania,Bulgaria,1134.0
Albania,Canada,15265.0
Albania,Chile,25.0
Albania,Colombia,49.0
Albania,Costa Rica,4.0
Albania,Croatia,173.0
Albania,Cuba,103.0
Albania,Cyprus,309.0
Albania,Czech Republic,314.0
Albania,Denmark,321.0
Albania,Ecuador,71.0
Albania,Egypt,134.0
Albania,Estonia,7.0
Albania,Finland,382.0
Albania,France,6695.0
Albania,Germany,18043.0
Albania,Greece,437356.0
Albania,Hungary,226.0
Albania,Iceland,41.0
Albania,Ireland,297.0
Albania,Italy,447586.0
Albania,Latvia,5.0
Albania,Libya,301.0
Albania,Luxembourg,301.0
Albania,Malta,90.0
Albania,Montenegro,2754.0
Albania,Netherlands,1192.0
Albania,Norway,972.0
Albania,Philippines,116.0
Albania,Poland,125.0
Albania,Portugal,49.0
Albania,Romania,130.0
Albania,Russian Federation,234.0
Albania,San Marino,31.0
Albania,Serbia,467.0
Albania,Slovakia,93.0
Albania,Slovenia,152.0
Albania,South Africa,164.0
Albania,Spain,1938.0
Albania,Sweden,2161.0
Albania,Switzerland,2008.0
Albania,The former Yugoslav Republic of Macedonia,67799.0
Albania,Turkey,3325.0
Albania,United Kingdom of Great Britain and Northern Ireland,14688.0
Albania,United States of America,81196.0
Albania,Venezuela (Bolivarian Republic of),19.0
Algeria,Argentina,104.0
Algeria,Australia,1561.0
Algeria,Austria,1290.0
Algeria,Belarus,53.0
Algeria,Belgium,12054.0
Algeria,Bolivia (Plurinational State of),3.0
Algeria,Brazil,219.0
Algeria,Bulgaria,369.0
Algeria,Canada,57024.0
Algeria,Chile,44.0
Algeria,Colombia,26.0
Algeria,Costa Rica,12.0
Algeria,Croatia,56.0
Algeria,Cuba,44.0
Algeria,Cyprus,39.0
Algeria,Czech Republic,699.0
Algeria,Denmark,955.0
Algeria,Ecuador,48.0
Algeria,Egypt,987.0
Algeria,Estonia,13.0
Algeria,Finland,1009.0
Algeria,France,1430656.0
Algeria,French Guiana,83.0
Algeria,French Polynesia,681.0
Algeria,Gabon,71.0
Algeria,Germany,23272.0
Algeria,Ghana,13.0
Algeria,Greece,1102.0
Algeria,Guadeloupe,156.0
Algeria,Hungary,681.0
Algeria,Iceland,35.0
Algeria,Ireland,588.0
Algeria,Israel,45680.0
Algeria,Italy,22471.0
Algeria,Jordan,363.0
Algeria,Latvia,14.0
Algeria,Libya,3589.0
Algeria,Luxembourg,100.0
Algeria,Mali,4305.0
Algeria,Malta,61.0
Algeria,Martinique,102.0
Algeria,Mauritania,1634.0
Algeria,Mexico,96.0
Algeria,Morocco,13664.0
Algeria,Namibia,443.0
Algeria,Netherlands,3975.0
Algeria,New Caledonia,802.0
Algeria,Nicaragua,113.0
Algeria,Niger,460.0
Algeria,Norway,1215.0
Algeria,Peru,19.0
Algeria,Philippines,462.0
Algeria,Poland,583.0
Algeria,Portugal,223.0
Algeria,Romania,146.0
Algeria,Russian Federation,778.0
Algeria,Senegal,4050.0
Algeria,Serbia,53.0
Algeria,Slovakia,102.0
Algeria,Slovenia,30.0
Algeria,South Africa,457.0
Algeria,Spain,55306.0
Algeria,Sweden,3004.0
Algeria,Switzerland,9600.0
Algeria,Tajikistan,134.0
Algeria,Tunisia,10443.0
Algeria,Turkey,648.0
Algeria,United Kingdom of Great Britain and Northern Ireland,26826.0
Algeria,United States of America,17700.0
Algeria,Venezuela (Bolivarian Republic of),95.0
Algeria,Western Sahara,78.0
American Samoa,Australia,380.0
American Samoa,France,1.0
American Samoa,Micronesia (Federated States of),23.0
American Samoa,Russian Federation,43.0
American Samoa,Samoa,1588.0
Andorra,Argentina,1.0
Andorra,Austria,2.0
Andorra,Brazil,12.0
Andorra,Chile,8.0
Andorra,Colombia,46.0
Andorra,Denmark,1.0
Andorra,Finland,1.0
Andorra,France,982.0
